Id,DateOfPrice,Value
id_0,01/06/2025 00:00:00,13
id_1,01/06/2025 00:00:00,15
id_2,01/06/2025 00:00:00,17
id_3,01/06/2025 00:00:00,17
id_4,01/06/2025 00:00:00,14
id_0,01/07/2025 00:00:00,13.3
id_1,01/07/2025 00:00:00,15
id_2,01/07/2025 00:00:00,17.13
id_3,01/07/2025 00:00:00,16.89
id_4,01/07/2025 00:00:00,14.16
id_0,01/08/2025 00:00:00,13.07
id_1,01/08/2025 00:00:00,14.8
id_2,01/08/2025 00:00:00,17
id_3,01/08/2025 00:00:00,16.77
id_4,01/08/2025 00:00:00,14
id_0,01/09/2025 00:00:00,12.75
id_1,01/09/2025 00:00:00,14.81
id_2,01/09/2025 00:00:00,17.06
id_3,01/09/2025 00:00:00,16.89
id_4,01/09/2025 00:00:00,14
id_0,01/10/2025 00:00:00,12.75
id_1,01/10/2025 00:00:00,14.6
id_2,01/10/2025 00:00:00,16.88
id_3,01/10/2025 00:00:00,16.79
id_4,01/10/2025 00:00:00,13.71
id_0,01/13/2025 00:00:00,12.64
id_1,01/13/2025 00:00:00,14.77
id_2,01/13/2025 00:00:00,16.98
id_3,01/13/2025 00:00:00,16.81
id_4,01/13/2025 00:00:00,14.4
id_0,01/14/2025 00:00:00,12.47
id_1,01/14/2025 00:00:00,14.84
id_2,01/14/2025 00:00:00,17
id_3,01/14/2025 00:00:00,16.7
id_4,01/14/2025 00:00:00,13.98
id_0,01/15/2025 00:00:00,12.3
id_1,01/15/2025 00:00:00,14.79
id_2,01/15/2025 00:00:00,16.84
id_3,01/15/2025 00:00:00,16.7
id_4,01/15/2025 00:00:00,13.55
id_0,01/16/2025 00:00:00,12.71
id_1,01/16/2025 00:00:00,14.84
id_2,01/16/2025 00:00:00,16.94
id_3,01/16/2025 00:00:00,16.66
id_4,01/16/2025 00:00:00,13.47
id_0,01/17/2025 00:00:00,12.47
id_1,01/17/2025 00:00:00,14.72
id_2,01/17/2025 00:00:00,16.99
id_3,01/17/2025 00:00:00,16.65
id_4,01/17/2025 00:00:00,13.02
id_0,01/20/2025 00:00:00,12.19
id_1,01/20/2025 00:00:00,14.67
id_2,01/20/2025 00:00:00,16.53
id_3,01/20/2025 00:00:00,16.69
id_4,01/20/2025 00:00:00,12.7
id_0,01/21/2025 00:00:00,12.5
id_1,01/21/2025 00:00:00,14.58
id_2,01/21/2025 00:00:00,16.41
id_3,01/21/2025 00:00:00,16.66
id_4,01/21/2025 00:00:00,12.45
id_0,01/22/2025 00:00:00,12.32
id_1,01/22/2025 00:00:00,14.41
id_2,01/22/2025 00:00:00,16.46
id_3,01/22/2025 00:00:00,16.65
id_4,01/22/2025 00:00:00,12.68
id_0,01/23/2025 00:00:00,12.71
id_1,01/23/2025 00:00:00,14.74
id_2,01/23/2025 00:00:00,16.15
id_3,01/23/2025 00:00:00,16.65
id_4,01/23/2025 00:00:00,12.46
id_0,01/24/2025 00:00:00,12.38
id_1,01/24/2025 00:00:00,14.47
id_2,01/24/2025 00:00:00,16.22
id_3,01/24/2025 00:00:00,16.67
id_4,01/24/2025 00:00:00,12.42
id_0,01/27/2025 00:00:00,12.67
id_1,01/27/2025 00:00:00,14.56
id_2,01/27/2025 00:00:00,16.12
id_3,01/27/2025 00:00:00,16.54
id_4,01/27/2025 00:00:00,12.62
id_0,01/28/2025 00:00:00,12.8
id_1,01/28/2025 00:00:00,14.45
id_2,01/28/2025 00:00:00,16.32
id_3,01/28/2025 00:00:00,16.52
id_4,01/28/2025 00:00:00,12.96
id_0,01/29/2025 00:00:00,12.54
id_1,01/29/2025 00:00:00,14.62
id_2,01/29/2025 00:00:00,16.88
id_3,01/29/2025 00:00:00,16.54
